IdVehiculo;Serial;Marca;Modelo;Asientos;Motor;Año;Tipo vehiculo;Gpo. estatus;Uso;Estatus;Combustible;Eco;Placas;Placas federales;Descripcion;aire;jala;mochila;conversion/reparacion;reinsidente;Columna1
8755;JN1BE6DS1L9035576;Nissan;Urvan;15;;2020;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;8305;A18149R;;UNIDAD RENTADA DEVUELTA;;;;;;
15010;3HBBZTBN8RL158182;International;Zafiro;41;Y1A076488;2024;Camion;Activo;Operaciones;Operando;Diesel;13060;A26766R;05RE9E;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;si;
8757;JN1BE6DS5L9036603;Nissan;Urvan;15;;2020;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;8307;;;UNIDAD RENTADA DEVUELTA;;;;;;
13046;3HBBZTBN6PL508048;International;Zafiro;41;Y1A066929;2023;Camion;Activo;Operaciones;Operando;Diesel;11455;;45RD7M;WOLONG;;;;;;
13490;3HBBZTBN4PL489077;International;Zafiro;41;Y1A071929;2023;Camion;Activo;Operaciones;Operando;Diesel;11899;;67RD1S;UDEM;;;;;;
14479;3HBBZTBN5RL195481;International;Zafiro;41;Y1A076073;2024;Camion;Activo;Operaciones;Operando;Diesel;12637;A25818R;55RD9Z;DONG KOOK MTY;;;;;;
15426;3MN2E82W4RD301955;Volkswagen;Ayco;41;0166787A126780;2024;Camion;Activo;Operaciones;Operando;Diesel;13416;;91RE6F;NIDEC-COLD;si;si;si;na;no;
14212;3HBBZTBNXRL670946;International;Zafiro;41;Y1A075476;2024;Camion;Activo;Operaciones;Operando;Diesel;12518;A25369R;83RD7Z;SIEMENS;;;;;;
8768;3MBAA6DN8GM058502;Mercedes benz;Torino;41;;2015;Camion;Baja;Operaciones;Vendido;Diesel;8318;;22HA2F;UNIDAD RENTADA DEVUELTA;;;;;;
10508;3HBBZTBN3NL448307;International;Zafiro;41;Y1A054494;2022;Camion;Activo;Operaciones;Operando;Diesel;9848;;21RC7F;LISI;;;;;;
10469;3HBBZTBN7NL448875;International;Zafiro;41;Y1A054745;2022;Camion;Activo;Operaciones;Operando;Diesel;9809;A20459R;50RC7F;IAC SANTA CATARINA;;;;;;
9725;3MBAA6DS8JM066841;Mercedes benz;Torino;41;;2018;Camion;Baja;Operaciones;Vendido;Diesel;9218;A15034R;;UNIDAD RENTADA DEVUELTA;;;;;;
13366;3HBBZTBN8PL485016;International;Zafiro;41;Y1A056284;2023;Camion;Activo;Operaciones;Operando;Diesel;11775;;01RD2S;IAC;;;;;;
13718;3HBBZTBN2PL500058;International;Zafiro;41;Y1A072176;2023;Camion;Activo;Operaciones;Operando;Diesel;12026;;01RD5V;AMAZON MTY 2;;;;;;
11135;3HBBZTBN6NL352669;International;Zafiro;41;Y1A059209;2022;Camion;Activo;Operaciones;Operando;Diesel;10362;A20901R;69RC1M;AZTEK;no;no;si;compresor;si;
15427;3MN2E82W2RD301954;Volkswagen;Ayco;41;0166787A146780;2024;Camion;Activo;Operaciones;Operando;Diesel;13417;;90RE6F;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;no;
7766;3HBBZSGN4LL264607;International;Reco;41;U1A009658;2020;Camion;Activo;Operaciones;Operando;Diesel;7968;;19RB3V;;;;;;;
9664;3MBAA6DS7JM066846;Mercedes benz;Torino;41;;2018;Camion;Baja;Operaciones;Vendido;Diesel;9157;A15024R;;UNIDAD RENTADA DEVUELTA;;;;;;
7752;3HBBZSGN0KL443015;International;Reco;41;U1A009509;2019;Camion;Activo;Operaciones;Operando;Diesel;7954;;75RB3V;NAPS;;;;;;
12938;3MBAA2DP0PM077877;Mercedes benz;Zafiro;41;924982U1389664;2023;Camion;Activo;Operaciones;Mantenimiento;Diesel;11352;A29844R;08RD3S;SIEMENS;;;;;;
11152;3MBAA2DM8FM053475;Mercedes benz;Zafiro;41;924933C1075132;2014;Camion;Baja;Operaciones;Vendido;Diesel;10379;226021R;;UNIDAD RENTADA DEVUELTA;;;;;;
4969;3HBBZSEN3HL473721;International;Zafiro;41;Y1A032476;2017;Camion;Activo;Operaciones;Operando;Diesel;5258;A17519R;42RA9G;LIXIL;;;;;;
9985;3MN2E82W8HD700057;Volkswagen;Ayco;45;0164451A314450;2017;Camion;Baja;Operaciones;Vendido;Diesel;9438;;66RC1G;UNIDAD RENTADA DEVUELTA CONFIRMADA POR JOSE DIEZ;;;;;;
13174;3HBBZTBN1PL513187;International;Zafiro;41;Y1A068455;2023;Camion;Activo;Operaciones;Operando;Diesel;11583;;68RD7M;IAC SANTA CATARINA;;;;;;
14286;3HBBZTBN3RL195480;International;Zafiro;41;Y1A076034;2024;Camion;Activo;Operaciones;Operando;Diesel;12591;A25821R;45RD9Z;SIEMENS;;;;;;
16164;3HBBZTBN4SL570640;International;Zafiro;41;Y1A077397;2025;Camion;Activo;Operaciones;Operando;Diesel;14110;;83RE6N;CELESTICA AGUA FRIA;;;;;;
13378;JTFSX23P6J6189400;Toyota;Hiace;15;2TR-9153807;2018;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;11787;A18037R;;UNIDAD RENTADA;;;;;;
13169;3HBBZTBN3PL516057;International;Zafiro;41;Y1A068878;2023;Camion;Activo;Operaciones;Operando;Diesel;11578;;73RD5M;IAC SANTA CATARINA;;;;;;
15011;3HBBZTBN8RL225766;International;Zafiro;41;Y1A076494;2024;Camion;Activo;Operaciones;Operando;Diesel;13061;A26787R;04RE9E;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;si;
16166;3HBBZTBN3SL592063;International;Zafiro;41;Y1A077407;2025;Camion;Activo;Operaciones;Operando;Diesel;14112;;78RE6N;CELESTICA APODACA;;;;;;
8946;3MBAA6DS7KM067593;Mercedes benz;Torino;41;926995U1222468;2019;Camion;Baja;Operaciones;Vendido;Diesel;8457;A-15657-R;;UNIDAD RENTADA DEVUELTA;;;;;;
9666;3MBAA6DN2JM065727;Mercedes benz;Torino;41;;2018;Camion;Baja;Operaciones;Vendido;Diesel;9159;229536R;;UNIDAD RENTADA DEVUELTA;;;;;;
5199;3HBBZSEN4HL445376;International;Zafiro;41;Y1A034137;2017;Camion;Activo;Operaciones;Operando;Diesel;5484;;76RA2X;CELESTICA AGUA FRIA;;;;;;
6321;WD3YF1A95JP591787;Mercedes benz;Sprinter;22;6,51955E+13;2018;Camioneta;Inactivo;Operaciones;Documentos;Diesel;6582;;53RB1G;Extravio de placa local;;;;;;
10018;JN1BE6DS3L9038317;Nissan;Urvan;15;QR25760689Q;2020;Camioneta;Baja;Operaciones;Vendido;Gasolina Magna;9471;A19662R;;UNIDAD RENTADA;;;;;;
10438;3HBBZTBN0NL443601;International;Zafiro;41;Y1A053721;2022;Camion;Activo;Operaciones;Operando;Diesel;9781;;24RC7F;UDEM;;;;;;
10433;3MBAA6DSXGM057339;Mercedes benz;Torino;41;926995U1114572;2016;Camion;Baja;Operaciones;Vendido;Diesel;9776;223527R;;UNIDAD RENTADA DEVUELTA;;;;;;
10987;3HBBZTBN7NL316988;International;Zafiro;41;Y1A057708;2022;Camion;Activo;Operaciones;Operando;Diesel;10217;A20781R;61RC2R;WOLONG;;;;;;
13047;3HBBZTBN0PL508112;International;Zafiro;41;Y1A067018;2023;Camion;Activo;Operaciones;Operando;Diesel;11456;;44RD7M;WOLONG;;;;;;
10332;3HBBZSGN1NL591971;International;Zafiro;41;U1A009979;2022;Camion;Activo;Operaciones;Operando;Diesel;9675;;63RC5F;SCANPAINT;no;no;si;reparacion;no;
9502;9BSK4X202E3842600;Scania;No Especificado;41;8228668;2014;Camion;Baja;Operaciones;Vendido;Diesel;8995;;139RN6;UNIDAD RENTADA DEVUELTA;;;;;;
16159;3HBBZTBN0SL571347;International;Zafiro;41;Y1A076932;2025;Camion;Activo;Operaciones;Operando;Diesel;14105;;81RE6N;CELESTICA APODACA;;;;;;
15235;3HBBZTBN6SL365174;International;Zafiro;41;Y1A077085;2025;Camion;Activo;Operaciones;Operando;Diesel;13239;;57RE1F;AMAZON MTY;;;;;;
11142;3HBBZTBN5NL353019;International;Zafiro;41;Y1A058833;2022;Camion;Activo;Operaciones;Operando;Diesel;10369;A20902R;75RC1M;KEPLER CONSTRUCTORA;;;;;;
5059;3HBBZSEN1HL483664;International;Zafiro;41;Y1A033265;2017;Camion;Activo;Operaciones;Operando;Diesel;5347;;54RA2X;AZTEK;si;si;si;na;si;
5022;3HBBZSEN0HL473756;International;Zafiro;41;Y1A032674;2017;Camion;Activo;Operaciones;Operando;Diesel;5310;A21966R;02RA7L;CELESTICA APODACA;;;;;;
5898;3HBBZSEN0KL573752;International;Reco;41;Y1A038186;2019;Camion;Activo;Operaciones;Corralon Grave;Diesel;6170;;48-RB-6A;Choque con camioneta JAC daños por $265 mil;;;;;;
15390;3MN2E82W4SD300035;Volkswagen;Ayco;41;0166798A166789;2025;Camion;Activo;Operaciones;Operando;Diesel;13380;;60RE4F;AMAZON MTY;;;;;;
5279;3HBBZSGN9HL494330;International;Zafiro;41;U1A008951;2017;Camion;Activo;Operaciones;Operando;Diesel;5556;;74RA2J;;;;;;;
13351;3MN2E82W0PD301285;Volkswagen;Ayco;45;0166378A736372;2023;Camion;Activo;Operaciones;Operando;Diesel;11760;A25371R;49RD2S;LIXIL;;;;;;
15389;3MN2E82W6RD301889;Volkswagen;Ayco;41;0166779A176772;2024;Camion;Activo;Operaciones;Operando;Diesel;13379;;86RE6F;NIDEC-USEM;;;;;;
15438;3HBBZTBN6SL350402;International;Zafiro;41;Y1A076636;2025;Camion;Activo;Operaciones;Operando;Diesel;13425;;92RE6F;NIDEC-COLD;si;si;si;na;si;
8943;3MBAA6DNXGM057786;Mercedes benz;Torino;41;906999C1066807;2016;Camion;Baja;Operaciones;Vendido;Diesel;8454;202-JV-9;;UNIDAD RENTADA DEVUELTA;;;;;;
15935;W1Y5KD3Z9RP659924;Mercedes benz;Sprinter;22;6,54921E+13;2024;Camioneta;Activo;Operaciones;Operando;Diesel;13891;A28416R;17RE7L;UDEM  CIRCUITOS;;;;;;
14269;3HBBZTBN3RL670951;International;Zafiro;41;Y1A076004;2024;Camion;Activo;Operaciones;Operando;Diesel;12575;A25718R;65RD7Z;IAC;;;;;;
7765;3HBBZSGN4LL264509;International;Reco;41;U1A009718;2020;Camion;Activo;Operaciones;Operando;Diesel;7967;;20RB3V;;;;;;;
